NAME	CD8 T	B	Naive CD4 T	CD14+ Mono	NK	FCGR3A+ Mono	Memory CD4 T	DC	Platelet
FAM153A	1.05979217346883	1.4597091015413	3.02254634527372	1.68608239946476	1.15492425868848	1.06217133082778	10.9399080078911	1.46077454522074	4.2021091164536
FAM153B	1.05979217346883	1.0411581521333	10.1604309650319	1	1.15492425868848	1.06217133082778	9.2522940441952	5.34694898892133	4.2021091164536
FAM159A	45.035191691673	65.7676502718761	55.1627220527383	2.20030418114358	31.9689104334409	2.19095204700131	58.1011753978238	1.46077454522074	4.2021091164536
FAM167B	1.05979217346883	1.0411581521333	1.23258958591017	1	7.598017225759	1.06217133082778	1.24241192164938	1.46077454522074	4.2021091164536
FAM177B	1.05979217346883	23.596870891319	1.15084441190322	1	1.15492425868848	1.06217133082778	1	1.46077454522074	4.2021091164536
FAM179A	3.97743802374498	1.0411581521333	1.2493105278351	1	9.8399947188629	1.06217133082778	1	1.46077454522074	4.2021091164536
FAM198B	1.05979217346883	2.03559296569531	1	13.3900942467172	1.15492425868848	8.97322598523373	1	1.46077454522074	4.2021091164536
FAM201A	2.10932764364847	1.0411581521333	6.43229693076297	1	1.15492425868848	1.06217133082778	7.64908019382087	1.46077454522074	4.2021091164536
FAM206A	1.05979217346883	2.17135150995134	3.47409224945629	3.5271281230616	3.09248487598066	7.3383226068745	12.6145528201855	1.46077454522074	4.2021091164536
FAM20C	1.05979217346883	1.0411581521333	1	7.22121833525815	1.15492425868848	3.17816402114776	1	19.5300708858615	4.2021091164536
FAM210B	11.2354640652282	8.93522450157498	57.9754032285372	16.3270125507909	7.24748657972864	17.5737928399992	14.1635270370989	8.95973293926586	4.2021091164536
FAM212A	1.05979217346883	33.7840502088307	1.06470337785978	1	1.15492425868848	8.67530655203239	1.15666415677755	1.46077454522074	192.27876598806
FAM212B	1.05979217346883	1.0411581521333	1.45158746297728	7.06471750527624	1.15492425868848	9.65861660127555	1	1.46077454522074	106.41261100739
FAM213B	11.0248736783446	1.0411581521333	13.7494980992515	8.89800700505252	3.92010706953736	1.06217133082778	3.81340411976724	1.46077454522074	4.2021091164536
FAM3C	37.9614079708732	111.67897433065	11.5707698828889	11.7344376914194	46.7199372430412	16.9106455261086	20.8781908770171	21.0615630564734	4.2021091164536
FAM49A	7.34984708799482	12.2034289333047	5.78600767079064	65.419261730317	18.2926751321239	129.323659821206	3.32526618949387	50.0140204134376	101.374958491173
FAM63A	3.18542754877844	2.73226394432978	9.91933532864103	4.0540515645137	1.15492425868848	11.8665585267662	5.63410885780765	6.24024847330314	265.558712352334
FAM72A	1.05979217346883	1.48021264311009	1.15344307150369	5.3103542344024	1.15492425868848	2.64953298451177	1	13.9926238098691	4.2021091164536
FAM98A	52.176212082208	8.28606385294977	5.34963272672606	6.19575625912202	6.95125304192815	5.39297769336352	7.36040431054906	8.2299458873411	4.2021091164536
FASLG	7.42526222713721	1.0411581521333	2.75445254307724	1	133.681530701604	1.06217133082778	1	1.46077454522074	4.2021091164536
FASTKD5	2.69207330906151	9.59882821806084	7.83450961877503	8.5096268971715	33.1807510561104	6.89702336167599	6.5769959441143	5.57019854835646	4.2021091164536
FAXDC2	1.05979217346883	1.0411581521333	1.40997800722189	1.92356977831043	1.15492425868848	1.06217133082778	1	1.46077454522074	661.594986169534
FBLN2	1.05979217346883	2.02953395623004	1.05613345043761	1	1.15492425868848	1.06217133082778	2.20893615478294	38.5278350690561	4.2021091164536
FBLN5	17.3404521127965	1.0411581521333	71.7916124180571	1	6.69064943655752	2.09795315458215	40.7938462991139	1.46077454522074	4.2021091164536
