NAME	Myofibroblast	CAF	Skeletal muscle	Myocyte	Endothelial	Mast	CD4+ T conv	CD8+ T eff	Dendritic	B cell	Treg	CD8+ T exh	Macrophage	Plasma cell
CXCL14	4.88864216144057	342.293315295733	354.990879223126	54.9022086037484	3.90373957253761	6.5329691171389	1.99948584721349	5.68221131372079	13.6389914426879	61.7543442661368	11.2453815754041	3.63721124093441	21.7609382707165	4.56540707467559
CXCL3	26.1030380008433	59.3710654973282	113.77958243231	1.02957389030577	40.0567725173034	25.0313722459189	9.03719876956202	1.51190509674539	27.4207885800826	1.01295334491398	1.43833745572841	3.92382361606524	202.497047686663	4.68675380795509
CXCL6	1.55572287799416	46.0831097296152	1	1.02957389030577	1	1.00111362007435	1	1	1.00505423613815	4.59166846848206	4.76657197875078	1	1.72309679314115	1.0133865721436
CXCL9	2.59770348734721	9.47732148478905	4.05167190029382	1.02957389030577	5.28876328357878	1.00111362007435	1.10400766241355	1	114.557720174777	1.01295334491398	1	1	115.047690831101	1.0133865721436
CXCR2P1	1	1	1	1.02957389030577	1	1.00111362007435	1	1.7306670983109	1.00505423613815	1.01295334491398	1	1	23.8597535034877	4.10958879062958
CXCR3	1.18884012710144	1	1	1.02957389030577	1	1.00111362007435	116.295372486715	233.980437062196	10.3472618859587	22.7603808965017	237.911851587172	91.0150061264227	48.6680736199115	57.5572398445316
CXCR5	2.87870203876902	1.04546873125055	1	1.02957389030577	1.0533216975336	1.00111362007435	20.5787542721149	93.2007814831296	2.24403324130784	241.312284594118	23.3790779129922	1.70925115368354	6.36156183041212	5.16165991074835
CXCR6	1.21373587902371	1.1456012119347	2.75734179722618	1.02957389030577	1.33621598875678	4.95517295035079	230.321922123156	134.516616543283	1.00505423613815	7.54334186712679	501.01174833563	425.375388054812	9.12961592310988	3.83270341961994
CXorf57	2.69478497405539	2.00520049892053	10.5849085481912	1.02957389030577	1.39907306144821	7.20587084136771	22.16377299075	70.1348701953573	2.70917213075201	57.1557823406585	1	31.4814121854363	4.35315601587319	24.2759396120072
CXorf65	1	1.0585816477256	1	1.02957389030577	1.08537266360972	13.2902144942284	40.6010179620923	31.8973296568184	24.4142242483985	1.01295334491398	33.4129917785865	27.5043672327262	11.639179803916	5.91628911141914
CYBB	2.85508063126929	1.12660212575606	1.45191694179418	1.02957389030577	9.9971076969127	4.16830118639452	6.84385132506884	2.02861865713204	7.08371029900004	375.879157572476	1.29231104426795	2.19792114423274	409.23910500764	48.320690714656
CYBRD1	240.76783409486	431.865228563296	286.829899176131	7.68616860172439	59.0824430461173	3.31021395553953	2.90552291060872	1.36500206049204	64.6460270039585	4.45146323711114	1	2.18753284747489	82.409006745583	1.0133865721436
CYCSP52	1.86946092356921	1.05718506440915	2.43300089446607	1.02957389030577	1.18137364858192	15.4621418241799	8.76282914832876	5.0273253176897	59.5188851926022	1.01295334491398	5.56102826057998	1	1.96256614311813	1.0133865721436
CYFIP2	58.6887127214106	3.89419301822148	1.45106599904805	7.82328071459366	3.06950322374033	23.3516650009283	215.109762148	225.823309481402	95.8916805334763	275.535194582682	185.485767379516	225.585203062354	29.6465728228162	43.3796602661179
CYP1B1	20.6990206443802	142.784629274755	1.6168062242343	1.02957389030577	92.9802198340831	6.75150055320549	1.31729334940334	1	17.5875132914373	20.7056446434529	1.2003673480477	1.26717532505187	14.911566393363	1.0133865721436
CYP2G1P	1.11166418916169	1.02207973755524	1	1.02957389030577	1.32338325318225	1.00111362007435	1.11267766948337	1	1.00505423613815	14.1458148648358	1	1	1	1.0133865721436
CYP2S1	4.09427357683689	1.20783902129535	5.75908458430631	1.02957389030577	1	1.00111362007435	1	1	121.330057798933	1.01295334491398	1.54485731366477	1	152.732320937726	1.0133865721436
CYP4B1	1.16021184179108	47.2387742435263	1	1.02957389030577	1.43073358634146	1.00111362007435	1	1	1.00505423613815	1.01295334491398	1	1	1	1.0133865721436
